*RZWQM2 OUTPUTS Version 3.27 Intel Fortran               Apr 29, 2016; 16:12:54


         SHAW E         SHAW T        SHAW ET        SHAW PT        RZ PT            AE            AT           SHAWE-AE
   31  0.000000       0.000000      -0.000303       0.000000       0.000000       0.000000       0.000000       0.000000
   32  0.000000       0.000000      -0.000400       0.000000       0.000000       0.000000       0.000000       0.000000
   33  0.000000       0.000000       0.002255       0.000000       0.000000       0.000000       0.000000       0.000000
   34  0.000000       0.000000       0.000965       0.000000       0.000000       0.000000       0.000000       0.000000
   35  0.000000       0.000000      -0.000217       0.000000       0.000000       0.000000       0.000000       0.000000
   36  0.000000       0.000000       0.002226       0.000000       0.000000       0.000000       0.000000       0.000000
   37  0.000000       0.000000       0.000694       0.000000       0.000000       0.000000       0.000000       0.000000
   38  0.000000       0.000000       0.004318       0.000000       0.000000       0.000000       0.000000       0.000000
   39  0.000000       0.000000       0.007254       0.000000       0.000000       0.000000       0.000000       0.000000
   40  0.000000       0.000000       0.001291       0.000000       0.000000       0.000000       0.000000       0.000000
   41  0.000000       0.000000      -0.001460       0.000000       0.000000       0.000000       0.000000       0.000000
   42  0.000000       0.000000      -0.000051       0.000000       0.000000       0.000000       0.000000       0.000000
   43  0.000000       0.000000       0.013649       0.000000       0.000000       0.000000       0.000000       0.000000
   44  0.000000       0.000000       0.006022       0.000000       0.000000       0.000000       0.000000       0.000000
   45  0.000000       0.000000       0.004383       0.000000       0.000000       0.000000       0.000000       0.000000
   46  0.000000       0.000000       0.006333       0.000000       0.000000       0.000000       0.000000       0.000000
   47  0.000000       0.000000      -0.000780       0.000000       0.000000       0.000000       0.000000       0.000000
   48  0.000000       0.000000       0.004830       0.000000       0.000000       0.000000       0.000000       0.000000
   49  0.009306       0.000000       0.009813       0.000000       0.000000       0.009306       0.000000       0.000000
   50  0.070641       0.000000       0.060659       0.000000       0.000000       0.070641       0.000000       0.000000
   51  0.176720       0.000000       0.175733       0.000000       0.000000       0.176720       0.000000      -0.000000
   52  0.084420       0.000000       0.082548       0.000000       0.000000       0.084421       0.000000      -0.000001
   53  0.098823       0.000000       0.098631       0.000000       0.000000       0.098824       0.000000      -0.000001
   54  0.025808       0.000000       0.016196       0.000000       0.000000       0.025808       0.000000       0.000000
   55  0.125769       0.000000       0.120352       0.000000       0.000000       0.125769       0.000000       0.000000
   56  0.133859       0.000000       0.132221       0.000000       0.000000       0.133859       0.000000      -0.000000
   57  0.087655       0.000000       0.089805       0.000000       0.000000       0.087656       0.000000      -0.000001
   58  0.089095       0.000000       0.090849       0.000000       0.000000       0.089095       0.000000      -0.000000
   59  0.112717       0.000000       0.112870       0.000000       0.000000       0.112718       0.000000      -0.000001
   60  0.143542       0.000000       0.143408       0.000000       0.000000       0.143544       0.000000      -0.000002
   61  0.137248       0.000000       0.134534       0.000000       0.000000       0.137249       0.000000      -0.000001
   62  0.047924       0.000000       0.049535       0.000000       0.000000       0.047926       0.000000      -0.000002
   63  0.053127       0.000000       0.055870       0.000000       0.000000       0.053133       0.000000      -0.000006
   64  0.000000       0.000000       0.001221       0.000000       0.000000       0.000000       0.000000      -0.000000
   65  0.148144       0.000000       0.142845       0.000000       0.000000       0.148144       0.000000      -0.000000
   66  0.094263       0.000000       0.095697       0.000000       0.000000       0.094264       0.000000      -0.000001
   67  0.068677       0.000000       0.069783       0.000000       0.000000       0.068680       0.000000      -0.000003
   68  0.063055       0.000000       0.062923       0.000000       0.000000       0.063057       0.000000      -0.000003
   69  0.000000       0.000000       0.002672       0.000000       0.000000       0.000000       0.000000      -0.000000
   70  0.000000       0.000000      -0.000351       0.000000       0.000000       0.000000       0.000000       0.000000
   71  0.000000       0.000000      -0.000047       0.000000       0.000000       0.000000       0.000000       0.000000
   72  0.155432       0.000000       0.152743       0.000000       0.000000       0.155432       0.000000       0.000000
